name,yahoo_symbol,exchange
Centum Electronics Limited,CENTUM.NS,NSE
Century Plyboards (India) Limited,CENTURYPLY.NS,NSE
Cera Sanitaryware Limited,CERA.NS,NSE
Cerebra Integrated Technologies Limited,CEREBRAINT.NS,NSE
CESC Limited,CESC.NS,NSE
Concord Enviro Systems Limited,CEWATER.NS,NSE
Capri Global Capital Limited,CGCL.NS,NSE
CG Power and Industrial Solutions Limited,CGPOWER.NS,NSE
Chalet Hotels Limited,CHALET.NS,NSE
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,NSE
Chembond Material Technologies Limited,CHEMBOND.NS,NSE
Chembond Chemicals Limited,CHEMBONDCH.NS,NSE
Chemcon Speciality Chemicals Limited,CHEMCON.NS,NSE
Chemfab Alkalis Limited,CHEMFAB.NS,NSE
Chemplast Sanmar Limited,CHEMPLASTS.NS,NSE
Chennai Petroleum Corporation Limited,CHENNPETRO.NS,NSE
Cheviot Company Limited,CHEVIOT.NS,NSE
Choice International Limited,CHOICEIN.NS,NSE
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,NSE
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS,NSE
CIE Automotive India Limited,CIEINDIA.NS,NSE
Capital India Finance Limited,CIFL.NS,NSE
Cigniti Technologies Limited,CIGNITITEC.NS,NSE
Cineline India Limited,CINELINE.NS,NSE
Cinevista Limited,CINEVISTA.NS,NSE
Cipla Limited,CIPLA.NS,NSE
Clean Science and Technology Limited,CLEAN.NS,NSE
CL Educate Limited,CLEDUCATE.NS,NSE
Chaman Lal Setia Exports Limited,CLSEL.NS,NSE
CMS Info Systems Limited,CMSINFO.NS,NSE
Creative Newtech Limited,CNL.NS,NSE
Coal India Limited,COALINDIA.NS,NSE
Coastal Corporation Limited,COASTCORP.NS,NSE
Cochin Shipyard Limited,COCHINSHIP.NS,NSE
Coffee Day Enterprises Limited,COFFEEDAY.NS,NSE
Coforge Limited,COFORGE.NS,NSE
Cohance Lifesciences Limited,COHANCE.NS,NSE
Colgate Palmolive (India) Limited,COLPAL.NS,NSE
Compuage Infocom Limited,COMPINFO.NS,NSE
Compucom Software Limited,COMPUSOFT.NS,NSE
Commercial Syn Bags Limited,COMSYN.NS,NSE
Container Corporation of India Limited,CONCOR.NS,NSE
Concord Biotech Limited,CONCORDBIO.NS,NSE
Confidence Petroleum India Limited,CONFIPET.NS,NSE
Consolidated Finvest & Holdings Limited,CONSOFINVT.NS,NSE
Control Print Limited,CONTROLPR.NS,NSE
Coral India Finance & Housing Limited,CORALFINAC.NS,NSE
Cords Cable Industries Limited,CORDSCABLE.NS,NSE
Coromandel International Limited,COROMANDEL.NS,NSE
CORONA Remedies Limited,CORONA.NS,NSE
COSMO FIRST LIMITED,COSMOFIRST.NS,NSE
Country Condo's Limited,COUNCODOS.NS,NSE
CP Capital Limited,CPCAP.NS,NSE
Career Point Edutech Limited,CPEDU.NS,NSE
Aditya Infotech Limited,CPPLUS.NS,NSE
Craftsman Automation Limited,CRAFTSMAN.NS,NSE
Canara Robeco Asset Management Company Limited,CRAMC.NS,NSE
Creative Eye Limited,CREATIVEYE.NS,NSE
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,NSE
Crest Ventures Limited,CREST.NS,NSE
CRISIL Limited,CRISIL.NS,NSE
Crizac Limited,CRIZAC.NS,NSE
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS,NSE
Crown Lifters Limited,CROWN.NS,NSE
CSB Bank Limited,CSBBANK.NS,NSE
CSL Finance Limited,CSLFINANCE.NS,NSE
Cambridge Technology Enterprises Limited,CTE.NS,NSE
City Union Bank Limited,CUB.NS,NSE
Cubex Tubings Limited,CUBEXTUB.NS,NSE
Cummins India Limited,CUMMINSIND.NS,NSE
Cupid Limited,CUPID.NS,NSE
Cura Technologies Limited,CURAA.NS,NSE
Cyber Media (India) Limited,CYBERMEDIA.NS,NSE
Cybertech Systems And Software Limited,CYBERTECH.NS,NSE
Cyient Limited,CYIENT.NS,NSE
Cyient DLM Limited,CYIENTDLM.NS,NSE
Dabur India Limited,DABUR.NS,NSE
Dalmia Bharat Limited,DALBHARAT.NS,NSE
Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS,NSE
Dam Capital Advisors Limited,DAMCAPITAL.NS,NSE
Damodar Industries Limited,DAMODARIND.NS,NSE
Dangee Dums Limited,DANGEE.NS,NSE
Datamatics Global Services Limited,DATAMATICS.NS,NSE
Data Patterns (India) Limited,DATAPATTNS.NS,NSE
Davangere Sugar Company Limited,DAVANGERE.NS,NSE
D.B.Corp Limited,DBCORP.NS,NSE
Deepak Builders & Engineers India Limited,DBEIL.NS,NSE
Dilip Buildcon Limited,DBL.NS,NSE
